,X,Y,Z,enmo,anglez,non-wear_flag,light,battery_voltage,weekday,quarter,relative_date_PCIAT,id,sii_binary
count,887400.0,887400.0,887400.0,887400.0,887400.0,887400.0,887400.0,887400.0,887400.0,887400.0,887400.0,887400.0,887400.0
mean,-0.0925779864192009,0.00336236204020679,-0.09122341871261597,0.05676444619894028,-6.642282962799072,0.02708674781024456,53.03376007080078,3877.55859375,3.999323867478026,2.4845616407482534,54.39643859863281,1718.2828487716927,0.3335587108406581
std,0.5386583209037781,0.35840290784835815,0.4236345887184143,0.08419450372457504,30.05540657043457,0.16103868186473846,208.34756469726562,170.32740783691406,1.977391798213182,1.132648928978949,59.34442138671875,1131.58963547316,0.47148440882738885
min,-8.022103309631348,-2.084078311920166,-1.0424073934555054,0.0,-89.9031753540039,0.0,0.0,3099.083251953125,1.0,1.0,-102.0,3.0,0.0
1%,-0.928149431347847,-0.8281711608171463,-0.9764850932359695,0.0,-82.90839210510254,0.0,0.1409054327011108,3335.2160546874998,1.0,1.0,1.0,85.0,0.0
5%,-0.8098109036684036,-0.601035887002945,-0.785295107960701,0.0010431087692268197,-55.11729278564453,0.0,0.6555724501609803,3565.0,1.0,1.0,8.0,178.0,0.0
10%,-0.7284826338291168,-0.4619694739580154,-0.630217707157135,0.004837056808173657,-42.63457489013672,0.0,1.2299887061119081,3706.0,1.0,1.0,13.0,276.0,0.0
25%,-0.5712358355522156,-0.23063329234719276,-0.3649263009428978,0.014106279239058495,-24.055105209350586,0.0,3.1051945090293884,3782.0,2.0,1.0,22.0,736.0,0.0
50%,-0.20286492258310318,0.0022894982248544693,-0.11486455053091049,0.030716258101165295,-7.890464544296265,0.0,8.227630615234375,3864.61669921875,4.0,2.0,36.0,1559.0,0.0
75%,0.43596257269382477,0.23637156188488007,0.1521807312965393,0.06649129092693329,9.089667081832886,0.0,20.887396335601807,4005.0,6.0,4.0,58.0,2621.0,1.0
90%,0.6589073002338409,0.46967349052429197,0.4904726475477218,0.12863138914108277,31.779869270324703,0.0,58.74428787231445,4099.0,7.0,4.0,120.0,3502.0,1.0
95%,0.7591118425130841,0.6088924229145044,0.6955054432153699,0.19228155761957147,47.02945919036858,0.0,168.8439384460437,4129.0,7.0,4.0,200.0,3718.0,1.0
99%,0.9137110489606858,0.844721013903618,0.9834690958261493,0.4256332209706311,77.88785720825196,1.0,1274.956806640625,4158.0,7.0,4.0,276.0,3919.0,1.0
max,1.3605244159698486,1.5520685911178589,8.018887519836426,7.033527851104736,89.74577331542969,1.0,2594.6220703125,6000.0,7.0,4.0,495.0,3957.0,1.0
