iter	MultiClass
0	1.291283147
1	1.219604181
2	1.160784312
3	1.112784315
4	1.072147882
5	1.038383706
6	1.009820177
7	0.9854638668
8	0.964614388
9	0.9461827058
10	0.9304440443
11	0.9157127779
12	0.9030940121
13	0.8917358265
14	0.8817680761
15	0.8729560636
16	0.8650805909
17	0.857850033
18	0.8515171157
19	0.8457990345
20	0.8404003319
21	0.8357171084
22	0.8312081456
23	0.8271084726
24	0.8232751529
25	0.8199069802
26	0.8165522242
27	0.8135178508
28	0.8108969804
29	0.8083442093
30	0.8060003241
31	0.8040188916
32	0.8022045524
33	0.8002158488
34	0.7982529889
35	0.7968175445
36	0.7953891917
37	0.7937706757
38	0.7921266556
39	0.7908347387
40	0.7889756287
41	0.7875486599
42	0.7860856451
43	0.7849338031
44	0.7838482148
45	0.7829807297
46	0.7817612133
47	0.7808303307
48	0.7801046244
49	0.7792633627
50	0.7785621595
51	0.7777398071
52	0.7768285685
53	0.7759375486
54	0.7748217613
55	0.7739536905
56	0.7732173475
57	0.7724928583
58	0.7717234882
59	0.7709375114
60	0.7702294397
61	0.7698104707
62	0.7689662424
63	0.767929773
64	0.7672945091
65	0.7662941433
66	0.7651829892
67	0.7642887692
68	0.762933857
69	0.7619903791
70	0.7615257772
71	0.7609674381
72	0.7604445153
73	0.7600193184
74	0.759080201
75	0.7581426725
76	0.7575277859
77	0.7566434702
78	0.7561596998
79	0.7553040534
80	0.7546533522
81	0.754044655
82	0.7533244532
83	0.752648014
84	0.7517240632
85	0.7506238206
86	0.7501315225
87	0.7494522157
88	0.7489227081
89	0.7481660984
90	0.7474215173
91	0.746687807
92	0.7461499514
93	0.7451986428
94	0.7448192887
95	0.7440555739
96	0.7436441766
97	0.7427428559
98	0.7417174903
99	0.7411520877
100	0.7401870758
101	0.7395188614
102	0.7388610073
103	0.7382170794
104	0.7375059724
105	0.7369819432
106	0.7364618805
107	0.7355096123
108	0.7351171897
109	0.7343723337
110	0.7334665152
111	0.7330191231
112	0.73238215
113	0.7315594877
114	0.731022937
115	0.7303051756
116	0.7297438736
117	0.7288935559
118	0.7282894404
119	0.7275106018
120	0.7266982295
121	0.7260092038
122	0.7251444319
