iter	Passed	Remaining
0	204	204532
1	219	109405
2	232	77106
3	242	60491
4	255	50765
5	267	44269
6	277	39431
7	288	35770
8	301	33200
9	314	31136
10	325	29262
11	337	27756
12	349	26502
13	360	25401
14	372	24463
15	385	23688
16	396	22947
17	408	22287
18	427	22086
19	444	21759
20	455	21221
21	466	20753
22	478	20346
23	489	19900
24	501	19559
25	514	19288
26	526	18981
27	537	18645
28	550	18433
29	563	18224
30	575	17986
31	586	17737
32	598	17536
33	610	17347
34	622	17154
35	634	16990
36	645	16810
37	660	16720
38	676	16676
39	688	16512
40	699	16355
41	711	16227
42	722	16090
43	733	15931
44	745	15814
45	757	15705
46	767	15570
47	779	15462
48	791	15366
49	805	15298
50	815	15181
51	830	15148
52	842	15057
53	856	14997
54	867	14911
55	878	14811
56	890	14732
57	902	14650
58	913	14565
59	924	14489
60	936	14419
61	947	14331
62	972	14458
63	982	14375
64	994	14301
65	1006	14243
66	1019	14194
67	1029	14108
68	1041	14051
69	1053	13997
70	1065	13941
71	1076	13868
72	1088	13828
73	1101	13777
74	1111	13708
75	1124	13665
76	1136	13617
77	1146	13553
78	1157	13498
79	1169	13444
80	1179	13382
81	1190	13330
82	1202	13285
83	1212	13224
84	1227	13212
85	1240	13182
86	1251	13138
87	1262	13088
88	1273	13035
89	1287	13013
90	1300	12993
91	1313	12961
92	1324	12916
93	1335	12871
94	1347	12837
95	1360	12812
96	1371	12767
97	1383	12733
98	1395	12697
99	1406	12657
100	1417	12617
101	1429	12587
102	1441	12555
103	1452	12512
104	1465	12488
105	1477	12462
106	1490	12438
107	1502	12411
108	1513	12373
109	1525	12343
110	1535	12298
111	1547	12268
112	1559	12238
113	1569	12197
114	1579	12158
115	1592	12134
116	1603	12103
117	1618	12096
118	1630	12069
119	1642	12041
120	1652	12007
121	1663	11969
122	1675	11945
123	1686	11911
124	1696	11876
125	1710	11862
126	1724	11851
127	1735	11820
128	1745	11783
129	1758	11765
130	1770	11744
131	1781	11717
132	1793	11694
133	1805	11671
134	1818	11649
135	1828	11614
136	1839	11588
